Nome,Cargo/Função
Adryan Nascimento Reis,Estudante Desenvolvedor - IFPE Campus Igarassu
Allan Diego Silva Lima,Professor Orientador - IFPE Campus Igarassu
Magadã Marinho Rocha de Lira,Pró-Reitora de Ensino do IFPE - Proden
Alexandre Manoel de Farias,Assessor do Setor de Avaliação e Acompanhamento dos Cursos Superiores - SAAC/Proden
Ana Kelly Figueiredo dos Santos,Pedagoga da Assessoria Pedagógica - ASPE/Proden
Fátima Cristina Rodrigues de Freitas Gonçalves,Pedagoga da Assessoria Pedagógica - ASPE/Proden
Kamylla Alexandre Leite dos Santos,Chefa do Setor de Avaliação e Acompanhamento dos Cursos Superiores - SAAC/Proden
Lenilton Souza Ferreira de Lima,Diretor da Gestão e Coordenação Acadêmica - DGCA/Proden
Raul Bueno Lins Campos,Diretor de Desenvolvimento do Ensino - DDEN/Proden
Rebeca Mirelli da Silva,Estagiária da Assessoria Pedagógica - ASPE/Proden
